City ID,City,Lat,Long,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
97,Hofn,64.2539,-15.2082,278.28,69,{'all': 86},4.94,IS,1633529619
98,Hamilton,39.1834,-84.5333,295.02,88,{'all': 75},0.45,US,1633529599
99,Ambilobe,-13.2,49.05,300.25,57,{'all': 100},3.97,MG,1633529587
100,Okha,53.5739,142.9478,277.92,71,{'all': 99},2.8,RU,1633529619
101,Khajuraho,24.85,79.9333,302.59,60,{'all': 66},1.04,IN,1633529620
102,Kidal,18.4411,1.4078,312.19,9,{'all': 0},5.15,ML,1633529620
103,Agadez,19.75,10.25,306.87,10,{'all': 0},5.37,NE,1633529620
104,Vao,-22.6667,167.4833,294.51,81,{'all': 0},5.46,NC,1633529621
105,Sjøholt,62.4837,6.8106,289.78,77,{'all': 100},1.66,NO,1633529621
106,Mataura,-46.1927,168.8643,284.53,98,{'all': 60},0.35,NZ,1633529621
107,Ajka,47.102,17.5589,286.46,82,{'all': 100},3.34,HU,1633529622
108,Amberley,39.2048,-84.428,294.64,85,{'all': 75},0.45,US,1633529622
109,Narsaq,60.9167,-46.05,281.27,47,{'all': 100},2.61,GL,1633529494
110,Yel'nya,54.5786,33.1837,283.48,61,{'all': 10},3.95,RU,1633529623
111,Rio Grande,-32.035,-52.0986,295.34,65,{'all': 49},1.26,BR,1633529623
112,Alenquer,-1.9417,-54.7383,304.34,44,{'all': 100},2.07,BR,1633529612
113,Luanda,-8.8368,13.2343,297.59,72,{'all': 61},8.74,AO,1633529205
114,Kamenka,51.3223,42.7678,281.36,37,{'all': 100},3.59,RU,1633529624
115,Florø,61.5996,5.0328,287.72,82,{'all': 75},3.6,NO,1633529624
116,Puerto Ayora,-0.7393,-90.3518,293.46,95,{'all': 96},3.13,EC,1633529624
117,Talnakh,69.4865,88.3972,275.74,100,{'all': 100},3.91,RU,1633529625
118,Butaritari,3.0707,172.7902,300.59,72,{'all': 19},6.15,KI,1633529625
119,Noyabrsk,63.1994,75.4507,279.21,78,{'all': 52},7.3,RU,1633529625
120,Bousso,10.4795,16.7117,308.43,34,{'all': 4},1.36,TD,1633529626
121,Benghazi,32.1167,20.0667,297.64,55,{'all': 0},5.89,LY,1633529626
122,Aginskoye,51.1,114.53,277.55,71,{'all': 93},1.77,RU,1633529626
123,Vila Franca do Campo,37.7167,-25.4333,297.38,88,{'all': 88},5.8,PT,1633529578
124,Haines Junction,60.7522,-137.5108,270.81,76,{'all': 15},1.11,CA,1633529627
125,Tiznit Province,29.5833,-9.5,306.52,17,{'all': 16},3.78,MA,1633529627
126,Kavieng,-2.5744,150.7967,299.14,82,{'all': 100},1.82,PG,1633529627
127,Egvekinot,66.3167,-179.1667,270.24,85,{'all': 99},8.15,RU,1633529628
128,Esim,4.8699,-2.2405,301.72,71,{'all': 82},3.62,GH,1633529628
129,Poum,-20.2333,164.0167,296.57,72,{'all': 0},6.91,NC,1633529628
130,Praia,14.9215,-23.5087,302.45,61,{'all': 20},8.23,CV,1633529629
131,Barra,-11.0894,-43.1417,305.49,34,{'all': 83},4.05,BR,1633529629
132,General Pico,-35.6566,-63.7568,285.52,39,{'all': 47},6.69,AR,1633529629
